T		 E
0.01	-4.0		
0.10   	-4.0
0.20   	-4.0
0.30   	-4.0
0.40   	-4.0
0.50   	-4.0
0.60   	-4.0
0.70   	-4.0
0.80   	-4.0
0.90   	-4.0
1.00   	-4.0
1.10   	-4.0
1.20   	-4.0
1.30   	-3.9
1.40   	-3.9
1.50   	-3.9
1.60   	-3.9
1.70   	-3.9
1.80   	-3.7
1.90   	-3.6
2.00   	-3.5
2.10   	-3.6
2.20   	-3.0
2.30   	-2.4
2.40   	-2.4
2.50   	-2.1
2.60   	-1.9
2.70   	-2.0
2.80   	-1.6
2.90   	-1.8
3.00   	-1.7
3.10   	-1.5
3.20   	-1.4
3.30   	-1.3
3.40   	-1.1
3.50   	-1.3
3.60   	-1.2
3.70   	-1.2
3.80   	-1.2
3.90   	-1.0
